"","generic","english","brandname","class_indication","searchterm"
"1",NA,"Benazepril","Lotensin","ACE inhibitor","benazepril|lotensin"
"2","progesteronia sisältävä muovikierukka","a plastic coil containing progesterone","Jaydess|Jaydess|Jaydess|Kyleena|Kyleena|Mirena|Mirena|Mirena",NA,"progesteronia sisältävä muovikierukka|a plastic coil containing progesterone|jaydess|jaydess|jaydess|kyleena|kyleena|mirena|mirena|mirena"
"3","enalapriili","enalapril","Enalapril-Ratiopharm|Enalapril-Ratiopharm|Enalapril Krka|Enalapril Krka|Enalapril Vitabalans|Enalapril Vitabalans|Linatilsan|Linatilsan|Linatilsan|Enalapril Orion|Linatil|Enalapril-Ratiopharm|Enalapril-Ratiopharm|Enalapril Krka|Enalapril Krka|Enalapril Vitabalans|Enalapril Vitabalans|Renitec|Linatilsan|Enalapril Orion|Linatilsan|Linatilsan|Linatil|Enalapril-Ratiopharm|Enalapril-Ratiopharm|Enalapril Krka|Enalapril Krka|Enalapril Vitabalans|Enalapril Vitabalans|Linatilsan|Enalapril Orion|Linatilsan|Linatilsan|Enalapril Orion|Linatil","ACE inhibitor","enalapriili|enalapril|enalapril-ratiopharm|enalapril-ratiopharm|enalapril krka|enalapril krka|enalapril vitabalans|enalapril vitabalans|linatilsan|linatilsan|linatilsan|enalapril orion|linatil|enalapril-ratiopharm|enalapril-ratiopharm|enalapril krka|enalapril krka|enalapril vitabalans|enalapril vitabalans|renitec|linatilsan|enalapril orion|linatilsan|linatilsan|linatil|enalapril-ratiopharm|enalapril-ratiopharm|enalapril krka|enalapril krka|enalapril vitabalans|enalapril vitabalans|linatilsan|enalapril orion|linatilsan|linatilsan|enalapril orion|linatil"
"4","abatasepti","abatacept","Orencia|Orencia",NA,"abatasepti|abatacept|orencia|orencia"
"5","asetyylikysteiini","acetylcysteine","Mucomyst|Meditus|Mucoratio|Mucoratio|Bisolaclar",NA,"asetyylikysteiini|acetylcysteine|mucomyst|meditus|mucoratio|mucoratio|bisolaclar"
"6","asetyylisalisyylihappo, yhdistelmävalmisteet","acetylsalicylic acid, combination preparations","Treo|Treo",NA,"asetyylisalisyylihappo, yhdistelmävalmisteet|acetylsalicylic acid, combination preparations|treo|treo"
"7","enalapriili ja diureetit","enalapril","Enalapril Comp Ratiopharm|Enalapril Comp Ratiopharm|Renitec Comp|Linatil Comp|Enalapril Comp Orion|Enalapril Comp Orion|Renitec Comp|Linatil Comp|Renitec Comp|Renitec Comp|Linatil Comp|Renitec Comp","ACE inhibitor","enalapriili ja diureetit|enalapril|enalapril comp ratiopharm|enalapril comp ratiopharm|renitec comp|linatil comp|enalapril comp orion|enalapril comp orion|renitec comp|linatil comp|renitec comp|renitec comp|linatil comp|renitec comp"
"8",NA,"Enalapril","Vasotec|linatil","ACE inhibitor","enalapril|vasotec|linatil"
"9","lääkehiili","activated carbon","Carbomix|Carbomix",NA,"lääkehiili|activated carbon|carbomix|carbomix"
"10","enalapriili ja lerkanidipiini","enalapril and lercanidipine","Enalapril/Lercanidipine Krka|Enalapril/Lercanidipine Krka|Zanipress|Zanipress|Zanipress|Zanipress|Enalapril/Lercanidipine Krka|Enalapril/Lercanidipine Krka","ACE inhibitor","enalapriili ja lerkanidipiini|enalapril and lercanidipine|enalapril/lercanidipine krka|enalapril/lercanidipine krka|zanipress|zanipress|zanipress|zanipress|enalapril/lercanidipine krka|enalapril/lercanidipine krka"
"11","adalimumabi","adalimumab","Hyrimoz|Hyrimoz|Hyrimoz|Hyrimoz|Hyrimoz|Hulio|Hulio|Hulio|Hulio|Amgevita|Amgevita|Hulio|Hulio|Hyrimoz|Hyrimoz|Idacio|Idacio|Idacio|Idacio|Humira|Humira|Humira|Humira",NA,"adalimumabi|adalimumab|hyrimoz|hyrimoz|hyrimoz|hyrimoz|hyrimoz|hulio|hulio|hulio|hulio|amgevita|amgevita|hulio|hulio|hyrimoz|hyrimoz|idacio|idacio|idacio|idacio|humira|humira|humira|humira"
"12","adapaleeni","adapalen","Differin|Differin|Differin|Differin|Differin",NA,"adapaleeni|adapalen|differin|differin|differin|differin|differin"
"13","adapaleeni, yhdistelmävalmisteet","adapalene, combination products","Epiduo|Epiduo|Epiduo|Epiduo|Epiduo",NA,"adapaleeni, yhdistelmävalmisteet|adapalene, combination products|epiduo|epiduo|epiduo|epiduo|epiduo"
"14","adrenaliini","adrenalin","Adrenalin Martindale Pharma|Adrenalin|Adrenalin|Adrenalin Ethypharm|Adrenalin",NA,"adrenaliini|adrenalin|adrenalin martindale pharma|adrenalin|adrenalin|adrenalin ethypharm|adrenalin"
"15","aflibersepti","aflibersept","Zaltrap|Zaltrap|Zaltrap|Zaltrap|Zaltrap|Zaltrap|Eylea|Eylea|Eylea|Eylea",NA,"aflibersepti|aflibersept|zaltrap|zaltrap|zaltrap|zaltrap|zaltrap|zaltrap|eylea|eylea|eylea|eylea"
"16","agalsidaasi alfa","agalsidase alfa","Replagal",NA,"agalsidaasi alfa|agalsidase alfa|replagal"
"17","agalsidaasi beeta","agalsidase beta","Fabrazyme|Fabrazyme|Fabrazyme",NA,"agalsidaasi beeta|agalsidase beta|fabrazyme|fabrazyme|fabrazyme"
"18","agomelatiini","agomelatin","Valdoxan|Valdoxan|Agomelatine Anpharm|Agomelatine Mylan|Agomelatine ratiopharm|Agomelatine Mylan|Agomelatine Mylan|Agomelatine Anpharm|Agomelatine ratiopharm|Agomelatine Stada|Agomelatine Stada|Agomelatine ratiopharm|Agomelatine Anpharm|Agomelatine Stada|Valdoxan",NA,"agomelatiini|agomelatin|valdoxan|valdoxan|agomelatine anpharm|agomelatine mylan|agomelatine ratiopharm|agomelatine mylan|agomelatine mylan|agomelatine anpharm|agomelatine ratiopharm|agomelatine stada|agomelatine stada|agomelatine ratiopharm|agomelatine anpharm|agomelatine stada|valdoxan"
"19","lisinopriili","lisinopril","Lisinopril Ratiopharm|Cardiostad|Lisinopril Ratiopharm|Lisinopril Orion|Lisinopril Ratiopharm|Cardiostad|Lisinopril Orion|Lisinopril Ratiopharm|Cardiostad|Lisinopril Orion","ACE inhibitor","lisinopriili|lisinopril|lisinopril ratiopharm|cardiostad|lisinopril ratiopharm|lisinopril orion|lisinopril ratiopharm|cardiostad|lisinopril orion|lisinopril ratiopharm|cardiostad|lisinopril orion"
"20",NA,"Lisinopril","Prinivil","ACE inhibitor","lisinopril|prinivil"
"21","perindopriili","perindopril","Coversyl Novum|Coversyl Novum|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Orion|Perindopril Krka|Perindopril Krka|Perindopril Orion|Perindopril Ratiopharm|Perindopril Ratiopharm|Coversyl Novum|Coversyl Novum|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Krka|Perindopril Orion|Perindopril Ratiopharm|Coversyl Novum|Coversyl Novum|Perindopril Orion|Perindopril Krka","ACE inhibitor","perindopriili|perindopril|coversyl novum|coversyl novum|perindopril ratiopharm|perindopril ratiopharm|perindopril orion|perindopril krka|perindopril krka|perindopril orion|perindopril ratiopharm|perindopril ratiopharm|coversyl novum|coversyl novum|perindopril ratiopharm|perindopril ratiopharm|perindopril ratiopharm|perindopril ratiopharm|perindopril krka|perindopril orion|perindopril ratiopharm|coversyl novum|coversyl novum|perindopril orion|perindopril krka"
"22","alendronaatti ja kolekalsiferoli","alendronate and colecalciferol","Fosavance|Fosastad|Fosastad|Fosastad|Fosavance|Fosastad",NA,"alendronaatti ja kolekalsiferoli|alendronate and colecalciferol|fosavance|fosastad|fosastad|fosastad|fosavance|fosastad"
"23","alfakalsidoli","alfacalcidol","Etalpha|Alfacalcidol Orifarm|Alfacalcidol Orifarm|Etalpha|Etalpha|Etalpha",NA,"alfakalsidoli|alfacalcidol|etalpha|alfacalcidol orifarm|alfacalcidol orifarm|etalpha|etalpha|etalpha"
"24","alfentaniili","alfentanil","Alfentanil Hameln|Rapifen|Alfentanil Hameln|Rapifen",NA,"alfentaniili|alfentanil|alfentanil hameln|rapifen|alfentanil hameln|rapifen"
"25","perindopriili","perindopril","Coversyl Novum|Coversyl Novum|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Orion|Perindopril Krka|Perindopril Krka|Perindopril Orion|Perindopril Ratiopharm|Perindopril Ratiopharm|Coversyl Novum|Coversyl Novum|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Ratiopharm|Perindopril Krka|Perindopril Orion|Perindopril Ratiopharm|Coversyl Novum|Coversyl Novum|Perindopril Orion|Perindopril Krka","ACE inhibitor","perindopriili|perindopril|coversyl novum|coversyl novum|perindopril ratiopharm|perindopril ratiopharm|perindopril orion|perindopril krka|perindopril krka|perindopril orion|perindopril ratiopharm|perindopril ratiopharm|coversyl novum|coversyl novum|perindopril ratiopharm|perindopril ratiopharm|perindopril ratiopharm|perindopril ratiopharm|perindopril krka|perindopril orion|perindopril ratiopharm|coversyl novum|coversyl novum|perindopril orion|perindopril krka"
"26","algiinihappo","alginic acid","Galieve|Gaviscon|Gaviscon|Gaviscon",NA,"algiinihappo|alginic acid|galieve|gaviscon|gaviscon|gaviscon"
"27","alglukosidaasi alfa","alglucosidase alfa","Myozyme",NA,"alglukosidaasi alfa|alglucosidase alfa|myozyme"
"28","alitretinoiini","alitretinoin","Toctino|Alitretinoin Orifarm|Toctino|Alitretinoin Orifarm",NA,"alitretinoiini|alitretinoin|toctino|alitretinoin orifarm|toctino|alitretinoin orifarm"
